ClientId,Target,Risk,Company,Org,Age,Truck,Car,TypeActivity,Assets,Department,Size
85,1,2,ГАММАМЕТ,Общества с ограниченной ответственностью,17.0,0,0,"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",10.5,,Малые предприятия
86,1,3,БК СИНТУР,Общества с ограниченной ответственностью,33.0,3,0,Торговля оптовая ручными инструментами,15.85,,Малые предприятия
87,0,3,РАСТЕР,Акционерные общества,16.0,1,3,Торговля оптовая неспециализированная,34.375,,Малые предприятия
88,0,3,ЭЛЕКТРО УРАЛ СПЕЦ МОНТАЖ,Акционерные общества,,0,0,Производство электромонтажных работ,8.05,,Малые предприятия
89,1,1,МОНО-2,Общества с ограниченной ответственностью,23.0,3,2,Строительство жилых и нежилых зданий,263.0,,Малые предприятия
90,0,3,ЗООЛЭНД,Акционерные общества,24.0,0,0,Торговля оптовая кормами для домашних животных,8.05,,Малые предприятия
91,0,3,СЕАЛ И К,Акционерные общества,29.0,0,0,Обработка отходов и лома цветных металлов,8.05,,Малые предприятия
92,0,3,ЭГИДА,Акционерные общества,20.0,0,0,Деятельность частных охранных служб,7.8542,,Малые предприятия
93,0,1,КОМПАНИЯ ЭРЛАНГ,Акционерные общества,46.0,1,0,Деятельность по предоставлению услуг телефонной связи,61.175,,Малые предприятия
94,0,3,ВИЗ-СТАЛЬ,Акционерные общества,26.0,1,2,Производство листового холоднокатаного стального проката,20.575,,Малые предприятия
95,0,3,КОМПАНИЯ РЕГУЛ,Акционерные общества,59.0,0,0,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",7.25,Красноярский край,Малые предприятия
96,0,3,ТЕРМО КИНГ СТИКС,Акционерные общества,,0,0,"Торговля оптовая прочими машинами, приборами, аппаратурой и оборудованием общепромышленного и специального назначения",8.05,Новосибирская область,Малые предприятия
97,0,1,ФОРЭС,Акционерные общества,71.0,0,0,"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",34.6542,Московская область,Средние предприятия
98,1,1,УКТ-99,Акционерные общества,23.0,0,1,Обработка отходов и лома черных металлов,63.3583,Красноярский край,Средние предприятия
99,1,2,ВЕГА-ПРО,Общества с ограниченной ответственностью,34.0,0,1,Производство медицинских инструментов и оборудования,23.0,Нижегородская область,Малые предприятия
100,0,2,ВЭН- ПРЕМЬЕР,Акционерные общества,34.0,1,0,"Торговля оптовая неспециализированная незамороженными пищевыми продуктами, напитками и табачными изделиями",26.0,Санкт-Петербург,Малые предприятия
101,0,3,ГОРОДСКАЯ БОЛЬНИЦА № 41,Общества с ограниченной ответственностью,28.0,0,0,Деятельность больничных организаций,7.8958,Санкт-Петербург,Малые предприятия
102,0,3,НОВАЯ БОЛЬНИЦА,Акционерные общества,,0,0,Деятельность больничных организаций,7.8958,Омская область,Малые предприятия
103,0,1,МЕТАЛЛЭКСП,Акционерные общества,21.0,0,1,Деятельность по управлению холдинг-компаниями,77.2875,Новосибирская область,Малые предприятия
104,0,3,АМЕЛИЯ,Акционерные общества,33.0,0,0,Торговля розничная моторным топливом в специализированных магазинах,8.6542,Свердловская область,Малые предприятия
105,0,3,СК ГРАНД-СТРОЙ,Акционерные общества,37.0,2,0,Подготовка строительной площадки,7.925,Томская область,Малые предприятия
106,0,3,ТОРГОВЫЙ ДОМ АВЕРОН,Акционерные общества,28.0,0,0,Торговля оптовая фармацевтической продукцией,7.8958,Томская область,Малые предприятия
107,1,3,УРАЛВЗРЫВПРОМ,Общества с ограниченной ответственностью,21.0,0,0,Разборка и снос зданий,7.65,Томская область,Малые предприятия
108,1,3,КОРПОРАЦИЯ МАЯК,Акционерные общества,,0,0,Строительство жилых и нежилых зданий,7.775,Томская область,Малые предприятия
109,0,3,СКМ-МЕБЕЛЬ,Акционерные общества,38.0,0,0,Торговля оптовая неспециализированная,7.8958,Тюменская область,Малые предприятия
110,1,3,ОТК,Общества с ограниченной ответственностью,,1,0,Торговля оптовая неспециализированная,24.15,Тюменская область,Крупные предприятия
111,0,1,РЕМСТАНКОМАШ,Акционерные общества,47.0,0,0,Производство машин и оборудования для добычи полезных ископаемых и строительства,52.0,Челябинская область,Малые предприятия
112,0,3,ЛЮКС ЕВРОПАК,Общества с ограниченной ответственностью,14.5,1,0,"Торговля оптовая прочими потребительскими товарами, не включенными в другие группировки",14.4542,Москва,Средние предприятия
113,0,3,ЕВРОПОРТ,Акционерные общества,22.0,0,0,Деятельность туристических агентств,8.05,Ленинградская область,Малые предприятия
114,0,3,УРАЛО-СИБИРСКОЕ УПРАВЛЕНИЕ,Общества с ограниченной ответственностью,20.0,1,0,Торговля оптовая подъемно-транспортными машинами и оборудованием,9.825,Карачаево-Черкесская Республика,Малые предприятия
115,0,3,ВИЗ-СТАЛЬ,Общества с ограниченной ответственностью,17.0,0,0,Деятельность частных охранных служб,14.4583,Краснодарский край,Средние предприятия
116,0,3,ЭНИ МОТОРС,Акционерные общества,21.0,0,0,Торговля автотранспортными средствами,7.925,Красноярский край,Малые предприятия
117,0,3,СЕРВИС-ЦЕНТР,Акционерные общества,70.5,0,0,Торговля оптовая эксплуатационными материалами и принадлежностями машин,7.75,Красноярский край,Крупные предприятия
118,0,2,СУТК,Акционерные общества,29.0,1,0,Торговля оптовая за вознаграждение или на договорной основе,21.0,Красноярский край,Малые предприятия
119,0,1,СИГНУМ,Акционерные общества,24.0,0,1,"Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами",247.5208,Ивановская область,Средние предприятия
120,0,3,КОМПАНИЯ БЕЛЛА УРАЛ,Общества с ограниченной ответственностью,2.0,4,2,Торговля оптовая фармацевтической продукцией,31.275,Калужская область,Малые предприятия
121,0,2,МЭТ,Акционерные общества,21.0,2,0,Торговля оптовая прочими бытовыми товарами,73.5,Кемеровская область,Малые предприятия
122,0,3,ВВЦ,Акционерные общества,,0,0,Торговля автотранспортными средствами,8.05,Кемеровская область,Малые предприятия
123,0,2,ВЕКТОР,Акционерные общества,32.5,1,0,Торговля оптовая прочими машинами и оборудованием,30.0708,Новосибирская область,Средние предприятия
124,1,2,ПРОКАБЕЛЬ,Общества с ограниченной ответственностью,32.5,0,0,"Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами",13.0,Ярославская область,Малые предприятия
125,0,1,МЕГАМАСТЕР,Акционерные общества,54.0,0,1,Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства,77.2875,Красноярский край,Малые предприятия
126,1,3,ПРОМКОМПЛЕКТЦЕНТР,Акционерные общества,12.0,1,0,Торговля оптовая неспециализированная,11.2417,Новосибирская область,Средние предприятия
127,0,3,ВЕСТСТРОЙ,Акционерные общества,,0,0,Строительство жилых и нежилых зданий,7.75,Новосибирская область,Крупные предприятия
128,1,3,ЛОГУР,Акционерные общества,24.0,0,0,Торговля оптовая одеждой и обувью,7.1417,Новосибирская область,Малые предприятия
129,1,3,СОСЬВА-ЛЕС,Общества с ограниченной ответственностью,,1,1,Распиловка и строгание древесины,22.3583,Новосибирская область,Средние предприятия
130,0,3,ОВК,Акционерные общества,45.0,0,0,"Торговля автомобильными деталями, узлами и принадлежностями",6.975,Новосибирская область,Малые предприятия
131,0,3,СКУЛЬПТУРА ЧАРЛИ,Акционерные общества,33.0,0,0,Стоматологическая практика,7.8958,Москва,Средние предприятия
132,0,3,НЛМК-СОРТ,Акционерные общества,20.0,0,0,Деятельность административно-хозяйственная комплексная по обеспечению работы организации,7.05,Свердловская область,Малые предприятия
133,0,3,ТЭК ЖЕЛДОРИНТЕГРАЦИЯ,Общества с ограниченной ответственностью,47.0,1,0,"Деятельность вспомогательная прочая, связанная с перевозками",14.5,Кемеровская область,Малые предприятия
134,1,2,ВВТРЕЙД,Общества с ограниченной ответственностью,29.0,1,0,Торговля оптовая неспециализированная,26.0,Республика Крым,Малые предприятия
135,0,2,СГ,Акционерные общества,25.0,0,0,Производство пластмассовых изделий для упаковывания товаров,13.0,Тульская область,Малые предприятия
136,0,2,ХОТЕЛ ДЕВЕЛОПМЕНТ КОМПАНИ ,Акционерные общества,23.0,0,0,Деятельность гостиниц и прочих мест для временного проживания,15.0458,Тюменская область,Средние предприятия
137,1,1,АДС ГРУПП,Общества с ограниченной ответственностью,19.0,0,2,Торговля оптовая металлами и металлическими рудами,26.2833,Тюменская область,Малые предприятия
138,0,1,ПРОСПЕКТ,Акционерные общества,37.0,1,0,Строительство автомобильных дорог и автомагистралей,53.1,Новосибирская область,Малые предприятия
139,0,3,ОПТКОМ-УРАЛ,Акционерные общества,16.0,0,0,"Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами",9.2167,Новосибирская область,Малые предприятия
140,0,1,ТЕХПРОМ,Акционерные общества,24.0,0,0,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",79.2,Кемеровская область,Средние предприятия
141,0,3,ИМПУЛЬС,Общества с ограниченной ответственностью,,0,2,Строительство жилых и нежилых зданий,15.2458,Москва,Средние предприятия
142,1,3,СПЕЦАВТОСЕРВИС,Общества с ограниченной ответственностью,22.0,0,0,Деятельность прочего сухопутного пассажирского транспорта,7.75,Краснодарский край,Малые предприятия
143,1,3,ЭНЕРГОСЕРВИС,Общества с ограниченной ответственностью,24.0,1,0,Ремонт машин и оборудования,15.85,Нижегородская область,Малые предприятия
144,0,3,ПГС,Акционерные общества,19.0,0,0,Строительство жилых и нежилых зданий,6.75,Новосибирская область,Крупные предприятия
145,0,2,ЕКО-ТРЕЙД,Акционерные общества,18.0,0,0,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями",11.5,Новосибирская область,Малые предприятия
146,0,2,ТСТ,Акционерные общества,19.0,1,1,Торговля оптовая специализированная прочая,36.75,Челябинская область,Малые предприятия
147,1,3,УРАЛЬСКИЙ ДОМ,Акционерные общества,27.0,0,0,"Производство пиломатериалов, профилированных по кромке; производство древесного полотна, древесной муки; производство технологической щепы или стружки",7.7958,Челябинская область,Малые предприятия
148,0,3,АСТРАСТРОЙИНВЕСТ,Общества с ограниченной ответственностью,9.0,2,2,Строительство жилых и нежилых зданий,34.375,Москва,Малые предприятия
149,0,2,СМАРТ ГРУПП,Акционерные общества,36.5,0,2,"Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ",26.0,Свердловская область,Малые предприятия
150,0,2,СТЕКЛОМАШ,Акционерные общества,42.0,0,0,Торговля оптовая изделиями из керамики и стекла,13.0,,Малые предприятия
151,0,2,ЛАРУС-АВТО,Акционерные общества,51.0,0,0,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,12.525,,Малые предприятия
152,1,1,СФЕРА ДОСТАВКИ,Общества с ограниченной ответственностью,22.0,1,0,Деятельность автомобильного грузового транспорта,66.6,,Малые предприятия
153,0,3,ЦФ ПРЕМЬЕР,Акционерные общества,55.5,0,0,Деятельность агентов по оптовой торговле строительными материалами,8.05,,Малые предприятия
154,0,3,САНТА ЛОГИСТИК,Акционерные общества,40.5,0,2,Деятельность по складированию и хранению,14.5,,Малые предприятия
155,0,3,БЕССЕР-АВТО,Акционерные общества,,0,0,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,7.3125,,Малые предприятия
156,0,1,ИНПАРТ,Акционерные общества,51.0,0,1,"Производство прочих машин и оборудования общего назначения, не включенного в другие группировки",61.3792,,Средние предприятия
157,1,3,ЭАМК,Общества с ограниченной ответственностью,16.0,0,0,"Торговля оптовая прочими машинами, оборудованием и принадлежностями",7.7333,,Крупные предприятия
158,0,3,СНОУПРОМ,Акционерные общества,30.0,0,0,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",8.05,,Малые предприятия
159,0,3,НМД,Акционерные общества,,0,0,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями",8.6625,,Малые предприятия
160,0,3,КАБЕЛЬНАЯ КОМПАНИЯ ИНТРО,Акционерные общества,,8,2,Торговля оптовая металлами и металлическими рудами,69.55,,Малые предприятия
161,0,3,ОЖК,Акционерные общества,44.0,0,1,Деятельность по складированию и хранению,16.1,,Малые предприятия
162,1,2,ИНСЕТКОМ,Общества с ограниченной ответственностью,40.0,0,0,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха",15.75,,Малые предприятия
163,0,3,ТД СИБИРСКИЙ ГРАНИТ,Акционерные общества,26.0,0,0,"Деятельность агентов, специализирующихся на оптовой торговле прочими отдельными видами товаров",7.775,,Малые предприятия
164,0,3,ПРОМСТРОЙ ГРУПП,Акционерные общества,17.0,0,0,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",8.6625,,Малые предприятия
165,0,3,МСИ,Акционерные общества,1.0,4,1,"Производство строительных металлических конструкций, изделий и их частей",39.6875,,Малые предприятия
166,1,3,ТОРГМАСТЕР-ТЛК,Акционерные общества,9.0,0,2,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",20.525,,Малые предприятия
167,1,1,Е-СТРОЙ,Общества с ограниченной ответственностью,,0,1,Строительство жилых и нежилых зданий,55.0,,Малые предприятия
168,0,3,АРТКЕРА,Общества с ограниченной ответственностью,45.0,1,4,Торговля оптовая изделиями из керамики и стекла,27.9,,Малые предприятия
